,extracted_reference,top_match,top_names,top_scores,top_indexes,second_match,second_names,second_scores,second_indexes,third_match
79,mills-charles-2007-white-ignorance-race-and-epistemologies-of-ignorance-247-26-31,"('alinia-white-ignorance-race-and-feminist-politics-in-sweden', 57.14285714285714, 94269)",alinia-white-ignorance-race-and-feminist-politics-in-sweden,57.14285714285714,94269,"('mohammed-the-dis-information-age-the-persistence-of-ignorance', 53.52112676056338, 247508)",mohammed-the-dis-information-age-the-persistence-of-ignorance,53.52112676056338,247508,"('pardue-white-riot-punk-rock-and-the-politics-of-race', 52.63157894736843, 95614)"
80,milner-murray-jr-2013-freaks-geeks-and-cool-kids-american-teenagers-schools-and-the-culture-of-consumption-london-routledge,"('gabler-freaks-geeks-and-cool-kids-american-teenagers-schools-and-the-culture-of-consumption', 82.2429906542056, 249990)",gabler-freaks-geeks-and-cool-kids-american-teenagers-schools-and-the-culture-of-consumption,82.2429906542056,249990,"('brown-freaks-geeks-and-cool-kids-american-teenagers-schools-and-the-culture-of-consumption-by-murray-milner-jr-new-york-routledge-2004-pp-ix-305', 74.90636704119851, 28084)",brown-freaks-geeks-and-cool-kids-american-teenagers-schools-and-the-culture-of-consumption-by-murray-milner-jr-new-york-routledge-2004-pp-ix-305,74.90636704119851,28084,"('vincent-ageing-contested-anti-ageing-science-and-the-cultural-construction-of-old-age', 52.88461538461539, 67015)"
81,mirchandani-kiran-2003-challenging-racial-silences-in-studies-of-emotion-work-contributions-from-anti-racist-feminist-theory-organization-studies-24-5-721-42,"('read-change-in-the-form-of-evolution-transition-from-primate-to-hominid-forms-of-social-organization', 50.583657587548636, 193328)",read-change-in-the-form-of-evolution-transition-from-primate-to-hominid-forms-of-social-organization,50.583657587548636,193328,"('nico-romantic-turning-points-and-patterns-of-leaving-home-contributions-from-qualitative-research-in-a-southern-european-country', 50.526315789473685, 6820)",nico-romantic-turning-points-and-patterns-of-leaving-home-contributions-from-qualitative-research-in-a-southern-european-country,50.526315789473685,6820,"('morandeira-arca-social-innovation-for-a-new-energy-model-from-theory-to-action-contributions-from-the-social-and-solidarity-economy-in-the-basque-country', 49.67741935483871, 135942)"
82,mueller-jennifer-c-2020-racial-ideology-or-racial-ignorance-an-alternative-theory-of-racial-cognition-sociological-theory-38-2-142-69,"('mueller-racial-ideology-or-racial-ignorance-an-alternative-theory-of-racial-cognition', 77.98165137614679, 30962)",mueller-racial-ideology-or-racial-ignorance-an-alternative-theory-of-racial-cognition,77.98165137614679,30962,"('abell-the-role-of-rational-choice-and-narrative-action-theories-in-sociological-theory', 56.62100456621004, 237466)",abell-the-role-of-rational-choice-and-narrative-action-theories-in-sociological-theory,56.62100456621004,237466,"('zafirovski-is-sociology-the-science-of-the-irrational-conceptions-of-rationality-in-sociological-theory', 52.542372881355924, 217037)"
83,oeser-alexandra-2019-when-will-we-talk-about-hitler-german-students-and-the-nazi-past-translated-by-katharine-throssell-worlds-of-memory-1-new-york-berghahn,"('corona-book-review-kaplan-r-d-2007-hog-pilots-blue-water-grunts-the-american-military-in-the-air-at-sea-and-on-the-ground-new-york-random-house', 48.82943143812709, 178401)",corona-book-review-kaplan-r-d-2007-hog-pilots-blue-water-grunts-the-american-military-in-the-air-at-sea-and-on-the-ground-new-york-random-house,48.82943143812709,178401,"('jones-the-biggest-problem-we-are-facing-is-the-running-away-problem-recruitment-and-the-paradox-of-facilitating-the-mobility-of-immobile-workers', 48.0, 39494)",jones-the-biggest-problem-we-are-facing-is-the-running-away-problem-recruitment-and-the-paradox-of-facilitating-the-mobility-of-immobile-workers,48.0,39494,"('wang-migrant-allies-and-sexual-remittances-how-international-students-change-the-sexual-attitudes-of-those-who-remain-behind', 47.857142857142854, 111641)"
84,books,"('bos-', 66.66666666666667, 117041)",bos-,66.66666666666667,117041,"('bos-', 66.66666666666667, 117063)",bos-,66.66666666666667,117063,"('bos-', 66.66666666666667, 117231)"
85,olick-jeffrey-k-2007-the-politics-of-regret-on-collective-memory-and-historical-responsibility-new-york-routledge,"('ben-yehuda-the-politics-of-regret-on-collective-memory-and-historical-responsibility-by-jeffrey-k-olick-new-york-routledge-2007-pp-vii-229-125-00', 73.64341085271317, 26844)",ben-yehuda-the-politics-of-regret-on-collective-memory-and-historical-responsibility-by-jeffrey-k-olick-new-york-routledge-2007-pp-vii-229-125-00,73.64341085271317,26844,"('hashimoto-the-politics-of-regret-on-collective-memory-and-historical-responsibility-by-jeffrey-k-olick-routledge-2007-229-pages-35-95-paper', 71.42857142857143, 19128)",hashimoto-the-politics-of-regret-on-collective-memory-and-historical-responsibility-by-jeffrey-k-olick-routledge-2007-229-pages-35-95-paper,71.42857142857143,19128,"('molotch-historic-preservation-collective-memory-and-historical-identity', 59.78260869565217, 256448)"
86,olsen-lauren-d-2019-the-conscripted-curriculum-and-the-reproduction-of-racial-inequalities-in-contemporary-us-medical-education-journal-of-health-and-social,"('olsen-the-conscripted-curriculum-and-the-reproduction-of-racial-inequalities-in-contemporary-u-s-medical-education', 83.7037037037037, 15537)",olsen-the-conscripted-curriculum-and-the-reproduction-of-racial-inequalities-in-contemporary-u-s-medical-education,83.7037037037037,15537,"('catalán-the-role-of-an-equity-policy-in-the-reproduction-of-social-inequalities-high-school-ranking-and-university-admissions-in-chile', 54.48275862068965, 109928)",catalán-the-role-of-an-equity-policy-in-the-reproduction-of-social-inequalities-high-school-ranking-and-university-admissions-in-chile,54.48275862068965,109928,"('cadge-ascription-choice-and-the-construction-of-religious-identities-in-the-contemporary-united-states', 53.48837209302326, 104475)"
87,behavior-60-1-55-68,"('-reviewers-2014-15', 48.64864864864865, 52267)",-reviewers-2014-15,48.64864864864865,52267,"('-reviewers-2016', 47.05882352941176, 52428)",-reviewers-2016,47.05882352941176,52428,"('-editorial-2015', 47.05882352941176, 209264)"
88,pavasovic-trost-tamara-2018-ruptures-and-continuities-in-nationhood-narratives-reconstructing-the-nation-through-history-textbooks-in-serbia-and-croatia-nations-and-nationalism-24-3-716-40,"('trošt-ruptures-and-continuities-in-nationhood-narratives-reconstructing-the-nation-through-history-textbooks-in-serbia-and-croatia', 81.13207547169812, 118657)",trošt-ruptures-and-continuities-in-nationhood-narratives-reconstructing-the-nation-through-history-textbooks-in-serbia-and-croatia,81.13207547169812,118657,"('storm-the-rise-of-the-nation-state-during-the-age-of-revolution-revisiting-the-debate-on-the-roots-of-nations-and-nationalism', 51.118210862619804, 120601)",storm-the-rise-of-the-nation-state-during-the-age-of-revolution-revisiting-the-debate-on-the-roots-of-nations-and-nationalism,51.118210862619804,120601,"('alexandris-perceived-constraints-on-recreational-sport-participation-investigating-their-relationship-with-intrinsic-motivation-extrinsic-motivation-and-amotivation', 49.43181818181818, 52536)"
89,peterson-gretchen-2006-cultural-theory-and-emotions-pp-114-34-in-handbook-of-the-sociology-of-emotions-edited-by-jan-e-stets-and-jonathan-h-turner-new-york-springer,"('emerson-the-sage-handbook-of-the-sociology-of-religion-edited-by-james-a-beckford-and-n-j-demerath-iii', 57.14285714285714, 105808)",emerson-the-sage-handbook-of-the-sociology-of-religion-edited-by-james-a-beckford-and-n-j-demerath-iii,57.14285714285714,105808,"('becker-beyond-the-cultural-turn-new-directions-in-the-study-of-society-and-culture-edited-by-victoria-e-bonnell-and-lynn-hunt-university-of-california-press-1999-350-pp', 51.80722891566265, 19555)",becker-beyond-the-cultural-turn-new-directions-in-the-study-of-society-and-culture-edited-by-victoria-e-bonnell-and-lynn-hunt-university-of-california-press-1999-350-pp,51.80722891566265,19555,"('turner-social-theory-and-social-policy-essays-in-honor-of-james-s-coleman-edited-by-aage-b-sorensen-and-seymour-spilerman-praeger-1993-272-pp', 51.80327868852459, 20083)"
90,pierce-jennifer-l-1999-emotional-labor-among-paralegals-annals-of-the-american-academy-of-political-and-social-science-561-1-127-42,"('albonetti-annals-of-the-american-academy-of-political-and-social-sciences-volume-525-white-collar-crime', 63.24786324786324, 252158)",albonetti-annals-of-the-american-academy-of-political-and-social-sciences-volume-525-white-collar-crime,63.24786324786324,252158,"('gibert-laudatio-de-juan-j-linz-sterling-professor-emeritus-of-political-and-social-science-yale-university', 52.320675105485236, 190498)",gibert-laudatio-de-juan-j-linz-sterling-professor-emeritus-of-political-and-social-science-yale-university,52.320675105485236,190498,"('perez-felkner-liberating-our-writing-critical-narratives-and-systemic-changes-in-education-and-the-social-sciences', 51.42857142857142, 222966)"
91,pirtle-whitney-n-laster-2022-white-people-still-come-out-on-top-the-persistence-of-white-supremacy-in-shaping-coloured-south-africans-perceptions-of-racial-hierarchy-and-experiences-of-racism-in-post-apartheid-south-africa-social-sciences-11-2-70,"('whitehead-racial-categories-as-resources-and-constraints-in-everyday-interactions-implications-for-racialism-and-non-racialism-in-post-apartheid-south-africa', 52.10918114143921, 93267)",whitehead-racial-categories-as-resources-and-constraints-in-everyday-interactions-implications-for-racialism-and-non-racialism-in-post-apartheid-south-africa,52.10918114143921,93267,"('pirtle-racial-states-and-re-making-race-exploring-coloured-racial-re-and-de-formation-in-state-laws-and-forms-in-post-apartheid-south-africa', 49.22279792746114, 63850)",pirtle-racial-states-and-re-making-race-exploring-coloured-racial-re-and-de-formation-in-state-laws-and-forms-in-post-apartheid-south-africa,49.22279792746114,63850,"('vincent-fat-in-a-time-of-slim-the-reinscription-of-race-in-the-framing-of-fat-desirability-in-post-apartheid-south-africa', 49.04632152588556, 173422)"
92,boredom-as-a-racialized-emotion,"('teeger-not-feeling-the-past-boredom-as-a-racialized-emotion', 68.88888888888889, 30816)",teeger-not-feeling-the-past-boredom-as-a-racialized-emotion,68.88888888888889,30816,"('darden-boredom-a-socially-disvalued-emotion', 67.56756756756756, 152904)",darden-boredom-a-socially-disvalued-emotion,67.56756756756756,152904,"('barrera-are-latinos-a-racialized-minority', 63.888888888888886, 111072)"
93,pizarro-marcos-and-rita-kohli-2020-i-stopped-sleeping-teachers-of-color-and-the-impact-of-racial-battle-fatigue-urban-education-55-7-967-91,"('dronkers-educational-reform-in-the-netherlands-did-it-change-the-impact-of-parental-occupation-and-education', 50.20242914979758, 36923)",dronkers-educational-reform-in-the-netherlands-did-it-change-the-impact-of-parental-occupation-and-education,50.20242914979758,36923,"('duxbury-fear-or-loathing-in-the-united-states-public-opinion-and-the-rise-of-racial-disparity-in-mass-incarceration-1978-2015', 50.0, 18347)",duxbury-fear-or-loathing-in-the-united-states-public-opinion-and-the-rise-of-racial-disparity-in-mass-incarceration-1978-2015,50.0,18347,"('barker-constraints-in-assessing-the-impact-of-animals-in-education', 49.75609756097561, 159401)"
94,posel-deborah-2001-race-as-common-sense-racial-classification-in-twentieth-century-south-africa-african-studies-review-87-113,"('tewolde-racial-classification-is-meaningless-why-racial-classification-in-south-africa-is-unintelligible-for-some-eritrean-refugees', 53.90625, 146186)",tewolde-racial-classification-is-meaningless-why-racial-classification-in-south-africa-is-unintelligible-for-some-eritrean-refugees,53.90625,146186,"('kahan-i-the-straight-state-sexuality-and-citizenship-in-twentieth-century-america-i-review', 53.02325581395348, 220002)",kahan-i-the-straight-state-sexuality-and-citizenship-in-twentieth-century-america-i-review,53.02325581395348,220002,"('giles-i-sex-after-fascism-memory-and-morality-in-twentieth-century-germany-i-review', 52.88461538461539, 220317)"
95,quaye-stephen-john-shamika-n-karikari-kiaya-demere-carter-wilson-kwamogi,"('kosansky-when-jews-speak-arabic-dialectology-and-difference-in-colonial-morocco', 49.006622516556284, 211177)",kosansky-when-jews-speak-arabic-dialectology-and-difference-in-colonial-morocco,49.006622516556284,211177,"('aumer-citizens-of-asian-america-democracy-and-race-during-the-cold-war', 47.887323943661976, 95712)",aumer-citizens-of-asian-america-democracy-and-race-during-the-cold-war,47.887323943661976,95712,"('jaeger-status-seeking-and-social-welfare-is-there-virtue-in-vanity', 47.82608695652174, 145180)"
96,okello-and-courtney-allen-2020-why-cant-i-just-chill-the-visceral-nature-of-racial-battle-fatigue-journal-of-college-student-development-61-5-609-23,"('blatt-to-bring-out-the-best-that-is-in-their-blood-race-reform-and-civilization-in-the-i-journal-of-race-development-i-1910-1919', 52.89855072463768, 94375)",blatt-to-bring-out-the-best-that-is-in-their-blood-race-reform-and-civilization-in-the-i-journal-of-race-development-i-1910-1919,52.89855072463768,94375,"('suh-democracy-and-the-making-of-contentious-policy-the-role-of-democracy-in-the-abolition-of-the-death-penalty-1950-2010', 50.0, 136874)",suh-democracy-and-the-making-of-contentious-policy-the-role-of-democracy-in-the-abolition-of-the-death-penalty-1950-2010,50.0,136874,"('mcclelland-the-role-of-contact-and-information-in-racial-attitude-change-among-white-college-students', 49.79919678714859, 142797)"
97,raffaelli-quentin-caitlin-mills-and-kalina-christoff-2018-the-knowns-and-unknowns-of-boredom-a-review-of-the-literature-experimental-brain-research-236-9,"('roulston-close-encounters-of-the-ca-kind-a-review-of-literature-analysing-talk-in-research-interviews', 52.75590551181102, 41672)",roulston-close-encounters-of-the-ca-kind-a-review-of-literature-analysing-talk-in-research-interviews,52.75590551181102,41672,"('schäfer-sources-characteristics-and-effects-of-mass-media-communication-on-science-a-review-of-the-literature-current-trends-and-areas-for-future-research', 51.465798045602604, 78446)",schäfer-sources-characteristics-and-effects-of-mass-media-communication-on-science-a-review-of-the-literature-current-trends-and-areas-for-future-research,51.465798045602604,78446,"('vieira-understanding-the-societal-impacts-of-machine-translation-a-critical-review-of-the-literature-on-medical-and-legal-use-cases', 50.0, 32027)"
98,2451-62,"('dintenfass-525-527', 31.999999999999996, 26037)",dintenfass-525-527,31.999999999999996,26037,"('-index-pages-210-215', 29.629629629629626, 74588)",-index-pages-210-215,29.629629629629626,74588,"('-index-volume-21-2004', 28.57142857142857, 23461)"
99,rao-aliya-hamid-2017-stand-by-your-man-wives-emotion-work-during-mens-unemployment-journal-of-marriage-and-family-79-3-636-56,"('rao-stand-by-your-man-wives-emotion-work-during-men-s-unemployment', 68.06282722513089, 9859)",rao-stand-by-your-man-wives-emotion-work-during-men-s-unemployment,68.06282722513089,9859,"('grauerholz-twenty-five-exceptional-educational-videos-for-sociology-of-marriage-and-family-courses', 49.327354260089685, 121808)",grauerholz-twenty-five-exceptional-educational-videos-for-sociology-of-marriage-and-family-courses,49.327354260089685,121808,"('arai-the-road-not-taken-the-transition-from-unemployment-to-self-employment-in-canada-1961-1994', 49.09090909090909, 212393)"
100,rhea-joseph-tilden-1997-race-pride-and-the-american-identity-cambridge-mass-harvard-university-press,"('micheletti-liah-greenfeld-nationalism-five-roads-modernity-cambridge-mass-harvard-university-press-1992', 65.02463054187191, 137689)",micheletti-liah-greenfeld-nationalism-five-roads-modernity-cambridge-mass-harvard-university-press-1992,65.02463054187191,137689,"('smith-bethan-moreton-to-serve-god-and-wal-mart-the-making-of-christian-free-enterprise-cambridge-mass-harvard-university-press-2009', 63.20346320346321, 211523)",smith-bethan-moreton-to-serve-god-and-wal-mart-the-making-of-christian-free-enterprise-cambridge-mass-harvard-university-press-2009,63.20346320346321,211523,"('urbinati-asecularage-charles-taylor-a-secular-age-cambridge-mass-harvard-university-press-2007', 62.88659793814433, 181574)"
101,ridgeway-cecilia-l-2006-expectation-states-theory-and-emotion-pp-347-67-in-handbook-of-the-sociology-of-emotions-edited-by-jan-e-stets-and-jonathan-h-turner,"('emerson-the-sage-handbook-of-the-sociology-of-religion-edited-by-james-a-beckford-and-n-j-demerath-iii', 55.03875968992248, 105808)",emerson-the-sage-handbook-of-the-sociology-of-religion-edited-by-james-a-beckford-and-n-j-demerath-iii,55.03875968992248,105808,"('albright-the-international-handbook-on-the-sociology-of-education-an-international-assessment-of-new-research-and-theory', 52.17391304347826, 253393)",albright-the-international-handbook-on-the-sociology-of-education-an-international-assessment-of-new-research-and-theory,52.17391304347826,253393,"('cummings-book-review-the-international-handbook-on-the-sociology-of-education-an-international-assessment-of-new-research-and-theory', 51.388888888888886, 132985)"
102,new-york-springer,"('-network-science', 66.66666666666667, 249090)",-network-science,66.66666666666667,249090,"('-on-sporting-heroes', 61.111111111111114, 179823)",-on-sporting-heroes,61.111111111111114,179823,"('new-book-reviews', 60.60606060606061, 70171)"
103,rivera-lauren-a-2008-managing-spoiled-national-identity-war-tourism-and-memory-in-croatia-american-sociological-review-73-4-613-34,"('rivera-managing-spoiled-national-identity-war-tourism-and-memory-in-croatia', 73.17073170731707, 4898)",rivera-managing-spoiled-national-identity-war-tourism-and-memory-in-croatia,73.17073170731707,4898,"('peschard-institutional-alternatives-to-democracy-in-latin-america-a-sociological-perspective', 55.855855855855864, 141199)",peschard-institutional-alternatives-to-democracy-in-latin-america-a-sociological-perspective,55.855855855855864,141199,"('-horowitz-jonathan-2018-relative-education-and-the-advantage-of-a-college-degree-american-sociological-review-83-4-771-801', 55.55555555555556, 5997)"
104,rivera-lauren-a-2015-go-with-your-gut-emotion-and-evaluation-in-job-interviews-american-journal-of-sociology-120-5-1339-89,"('rivera-go-with-your-gut-emotion-and-evaluation-in-job-interviews', 68.81720430107528, 24925)",rivera-go-with-your-gut-emotion-and-evaluation-in-job-interviews,68.81720430107528,24925,"('mehdizadeh-an-analysis-of-authors-and-institutions-contributing-to-the-american-journal-of-economics-and-sociology-1981-1993', 55.28455284552846, 207272)",mehdizadeh-an-analysis-of-authors-and-institutions-contributing-to-the-american-journal-of-economics-and-sociology-1981-1993,55.28455284552846,207272,"('lawton-change-of-authorship-intergenerational-solidarity-and-the-structure-of-adult-child-parent-relationships-in-american-families-american-journal-of-sociology-103-2-429-60', 53.37837837837838, 26094)"
105,roy-donald-1959-banana-time-job-satisfaction-and-informal-interaction-human-organization-18-4-158-68,"('ferrer-i-carbonell-financial-satisfaction-and-in-formal-sector-in-a-transition-country', 58.06451612903225, 57900)",ferrer-i-carbonell-financial-satisfaction-and-in-formal-sector-in-a-transition-country,58.06451612903225,57900,"('bayrakdar-job-satisfaction-and-sexual-orientation-in-britain', 56.25, 39201)",bayrakdar-job-satisfaction-and-sexual-orientation-in-britain,56.25,39201,"('harris-introduction-to-a-thematic-issue-interaction-and-organizations', 53.25443786982249, 161452)"
106,st-john-craig-and-tamara-heald-moore-1996-racial-prejudice-and-fear-of-criminal-victimization-by-strangers-in-public-settings-sociological-inquiry-66-3-267-84,"('john-racial-prejudice-and-fear-of-criminal-victimization-by-strangers-in-public-settings', 71.54471544715447, 142792)",john-racial-prejudice-and-fear-of-criminal-victimization-by-strangers-in-public-settings,71.54471544715447,142792,"('abell-the-role-of-rational-choice-and-narrative-action-theories-in-sociological-theory', 48.36065573770492, 237466)",abell-the-role-of-rational-choice-and-narrative-action-theories-in-sociological-theory,48.36065573770492,237466,"('ramos-replica-a-maletta-hector-2009-el-pan-del-futuro-cambio-climatico-agricultura-y-alimentacion-en-america-latina-debates-en-sociologia-34-117-176', 47.71241830065359, 262219)"
107,schieman-scott-2006-anger-pp-493-515-in-handbook-of-the-sociology-of-emotions-edited-by-jan-e-stets-and-jonathan-h-turner-new-york-springer,"('emerson-the-sage-handbook-of-the-sociology-of-religion-edited-by-james-a-beckford-and-n-j-demerath-iii', 59.75103734439834, 105808)",emerson-the-sage-handbook-of-the-sociology-of-religion-edited-by-james-a-beckford-and-n-j-demerath-iii,59.75103734439834,105808,"('denzin-handbook-of-sociological-theory-edited-by-jonathan-h-turner-new-york-kluwer-academic-plenum-publishers-2001-pp-xi-745', 53.99239543726235, 25860)",denzin-handbook-of-sociological-theory-edited-by-jonathan-h-turner-new-york-kluwer-academic-plenum-publishers-2001-pp-xi-745,53.99239543726235,25860,"('albright-the-international-handbook-on-the-sociology-of-education-an-international-assessment-of-new-research-and-theory', 51.73745173745174, 253393)"
108,schrock-douglas-janice-mccabe-and-christian-vaccaro-2018-narrative-manhood-acts-batterer-intervention-program-graduates-tragic-relationships-symbolic-interaction-41-3-384-410,"('schrock-narrative-manhood-acts-batterer-intervention-program-graduates-tragic-relationships', 68.67924528301887, 160695)",schrock-narrative-manhood-acts-batterer-intervention-program-graduates-tragic-relationships,68.67924528301887,160695,"('schieman-beyond-heartless-conservative-and-bleeding-heart-liberal-caricatures-how-religiosity-shapes-the-relationship-between-political-orientation-and-empathy', 48.64864864864865, 105413)",schieman-beyond-heartless-conservative-and-bleeding-heart-liberal-caricatures-how-religiosity-shapes-the-relationship-between-political-orientation-and-empathy,48.64864864864865,105413,"('richards-the-adjudication-of-slave-ship-captures-coercive-intervention-and-value-exchange-in-comparative-atlantic-perspective-ca-1839-1870', 47.43589743589743, 211319)"
109,simko-christina-2015-the-politics-of-consolation-memory-and-the-meaning-of-september-11-new-york-oxford-university-press,"('holland-the-politics-of-consolation-memory-and-the-meaning-of-september-11-by-christina-simko-oxford-oxford-university-press-2015-pp-xii-290', 75.38461538461539, 27042)",holland-the-politics-of-consolation-memory-and-the-meaning-of-september-11-by-christina-simko-oxford-oxford-university-press-2015-pp-xii-290,75.38461538461539,27042,"('howie-the-politics-of-consolation-memory-the-meaning-of-september-11by-christina-simko-oxford-university-press-2015-304-pp-24-95-paper', 73.22834645669292, 20288)",howie-the-politics-of-consolation-memory-the-meaning-of-september-11by-christina-simko-oxford-university-press-2015-304-pp-24-95-paper,73.22834645669292,20288,"('eyerman-the-politics-of-consolation-memory-and-the-meanings-of-september-11', 70.76923076923076, 252925)"
110,skogan-wesley-g-1995-crime-and-the-racial-fears-of-white-americans-annals-of-the-american-academy-of-political-and-social-science-539-1-59-71,"('albonetti-annals-of-the-american-academy-of-political-and-social-sciences-volume-525-white-collar-crime', 60.65573770491803, 252158)",albonetti-annals-of-the-american-academy-of-political-and-social-sciences-volume-525-white-collar-crime,60.65573770491803,252158,"('finkeldey-book-review-the-impact-of-racism-on-african-american-families-literature-as-social-science', 53.11203319502075, 122180)",finkeldey-book-review-the-impact-of-racism-on-african-american-families-literature-as-social-science,53.11203319502075,122180,"('hordge-freeman-the-impact-of-racism-on-african-american-families-literature-as-social-science', 52.991452991452995, 95939)"
111,smith-william-a-walter-r-allen-and-lynette-l-danley-2007-assume-the-position-you-fit-the-description-psychosocial-experiences-and-racial-battle-fatigue-among-african-american-male-college-students-american-behavioral-scientist-51-4-551-78,"('butler-barnes-teacher-based-racial-discrimination-the-role-of-racial-pride-and-religiosity-among-african-american-and-caribbean-black-adolescents', 49.08616187989556, 61923)",butler-barnes-teacher-based-racial-discrimination-the-role-of-racial-pride-and-religiosity-among-african-american-and-caribbean-black-adolescents,49.08616187989556,61923,"('whiteside-mansell-an-examination-of-cross-racial-comparability-of-mother-child-interaction-among-african-american-and-anglo-american-families', 49.07651715039578, 10221)",whiteside-mansell-an-examination-of-cross-racial-comparability-of-mother-child-interaction-among-african-american-and-anglo-american-families,49.07651715039578,10221,"('ying-attachment-sense-of-coherence-and-mental-health-among-chinese-american-college-students-variation-by-migration-status', 48.33333333333333, 75712)"
112,soudien-crain-2012-realising-the-dream-unlearning-the-logic-of-race-in-the-south-african-school-cape-town-hsrc-press,"('heinecken-affirming-gender-equality-the-challenges-facing-the-south-african-armed-forces', 56.86274509803921, 140171)",heinecken-affirming-gender-equality-the-challenges-facing-the-south-african-armed-forces,56.86274509803921,140171,"('runciman-organising-against-precarity-the-life-of-a-south-african-labour-broker-worker', 55.44554455445545, 40493)",runciman-organising-against-precarity-the-life-of-a-south-african-labour-broker-worker,55.44554455445545,40493,"('macleod-racializing-teenage-pregnancy-culture-and-tradition-in-the-south-african-scientific-literature', 54.12844036697248, 93435)"
113,srivastava-sarita-2006-tears-fears-and-careers-anti-racism-and-emotion-in-social-movement-organizations-canadian-journal-of-sociology-cahiers-canadiens-de-sociologie-pp-55-90,"('srivastava-tears-fears-and-careers-anti-racism-and-emotion-in-social-movement-organizations', 68.67924528301887, 212204)",srivastava-tears-fears-and-careers-anti-racism-and-emotion-in-social-movement-organizations,68.67924528301887,212204,"('srivastava-tears-fears-and-careers-anti-racism-and-emotion-in-social-movement-organizations', 68.67924528301887, 212639)",srivastava-tears-fears-and-careers-anti-racism-and-emotion-in-social-movement-organizations,68.67924528301887,212639,"('haggerty-change-and-continuity-at-the-canadian-journal-of-sociology-cahiers-canadiens-de-sociologie', 61.53846153846154, 213545)"
114,stein-arlene-2014-reluctant-witnesses-survivors-their-children-and-the-rise-of-holocaust-consciousness-oxford-oxford-university-press,"('wolf-reluctant-witnesses-survivors-their-children-and-the-rise-of-holocaust-consciousness-by-arlene-stein-new-york-oxford-university-press-2014-pp-256-24-95', 78.20069204152249, 29530)",wolf-reluctant-witnesses-survivors-their-children-and-the-rise-of-holocaust-consciousness-by-arlene-stein-new-york-oxford-university-press-2014-pp-256-24-95,78.20069204152249,29530,"('mestrovic-reluctant-witnesses-survivors-their-children-and-the-rise-of-holocaust-consciousness', 77.5330396475771, 252693)",mestrovic-reluctant-witnesses-survivors-their-children-and-the-rise-of-holocaust-consciousness,77.5330396475771,252693,"('slijepčević-book-review-reluctant-witnesses-survivors-their-children-and-the-rise-of-holocaust-consciousness', 76.34854771784232, 147069)"
115,steinberg-ronnie-j-and-deborah-m-figart-1999-emotional-labor-since-the-managed-heart-annals-of-the-american-academy-of-political-and-social-science-561-1-8-26,"('albonetti-annals-of-the-american-academy-of-political-and-social-sciences-volume-525-white-collar-crime', 58.23754789272031, 252158)",albonetti-annals-of-the-american-academy-of-political-and-social-sciences-volume-525-white-collar-crime,58.23754789272031,252158,"('dementieva-theory-of-family-education-in-the-general-theoretical-context-of-social-sciences', 50.60240963855422, 232748)",dementieva-theory-of-family-education-in-the-general-theoretical-context-of-social-sciences,50.60240963855422,232748,"('ryazantsev-viii-international-american-studies-congress-200th-anniversary-of-latin-america-globalization-political-and-social-processes-during-the-pandemic', 50.47923322683706, 232928)"
116,steyn-melissa-2012-the-ignorance-contract-recollections-of-apartheid-childhoods-and-the-construction-of-epistemologies-of-ignorance-identities-19-1-8-25,"('pozo-the-essence-of-the-people-citizenship-class-accommodation-and-the-construction-of-political-identities-in-britain-c-1640-1850', 56.02836879432624, 148133)",pozo-the-essence-of-the-people-citizenship-class-accommodation-and-the-construction-of-political-identities-in-britain-c-1640-1850,56.02836879432624,148133,"('delín-the-commodification-of-the-rural-and-the-construction-of-regional-identity', 54.310344827586206, 236717)",delín-the-commodification-of-the-rural-and-the-construction-of-regional-identity,54.310344827586206,236717,"('matoesian-the-grammaticalization-of-participant-roles-in-the-constitution-of-expert-identity', 54.0983606557377, 168172)"
117,teeger-chana-2015a-both-sides-of-the-story-history-education-in-post-apartheid,"('eglīte-changes-of-time-use-of-the-town-population-in-latvia', 56.934306569343065, 60200)",eglīte-changes-of-time-use-of-the-town-population-in-latvia,56.934306569343065,60200,"('teeger-both-sides-of-the-story', 55.55555555555556, 5563)",teeger-both-sides-of-the-story,55.55555555555556,5563,"('jenness-editors-note-theory-history-aplication-and-politics', 55.47445255474452, 250593)"
118,south-africa-american-sociological-review-80-6-1175-200,"('-european-sociological-review-reviewers-2009', 60.60606060606061, 52426)",-european-sociological-review-reviewers-2009,60.60606060606061,52426,"('-european-sociological-review', 59.523809523809526, 52124)",-european-sociological-review,59.523809523809526,52124,"('-european-sociological-review', 59.523809523809526, 52450)"
119,teeger-chana-2015b-ruptures-in-the-rainbow-nation-how-desegregated-south-african-schools-deal-with-interpersonal-and-structural-racism-sociology-of-education-88-3-226-43,"('meyer-forming-american-educational-policy-with-international-data-lessons-from-the-sociology-of-education', 50.364963503649626, 37039)",meyer-forming-american-educational-policy-with-international-data-lessons-from-the-sociology-of-education,50.364963503649626,37039,"('remes-early-home-leaving-hl-and-educational-attainment-the-moderating-role-of-hl-in-the-intergenerational-transmission-of-education', 50.0, 157091)",remes-early-home-leaving-hl-and-educational-attainment-the-moderating-role-of-hl-in-the-intergenerational-transmission-of-education,50.0,157091,"('knibbe-secularist-understandings-of-pentecostal-healing-practices-in-amsterdam-developing-an-intersectional-and-post-secularist-sociology-of-religion', 49.685534591194966, 197137)"
